,index,Method,$\widehat{\beta}$
668,2,active (shifted),0.8585858585858587
669,3,active (full),0.8585858585858587
670,4,sample everything,0.8787878787878789
671,5,oblivious (partial),0.8080808080808082
672,0,active (partial),0.8585858585858587
673,1,active (partial+cons_cv),0.8484848484848485
674,2,active (shifted),0.8484848484848485
675,3,active (full),0.8585858585858587
676,4,sample everything,0.8484848484848485
677,5,oblivious (partial),0.8787878787878789
678,0,active (partial),0.8686868686868687
679,1,active (partial+cons_cv),0.8787878787878789
680,2,active (shifted),0.888888888888889
681,3,active (full),0.8787878787878789
682,4,sample everything,0.9090909090909092
683,5,oblivious (partial),0.8383838383838385
684,0,active (partial),0.8787878787878789
685,1,active (partial+cons_cv),0.8787878787878789
686,2,active (shifted),0.8787878787878789
687,3,active (full),0.8787878787878789
688,4,sample everything,0.888888888888889
689,5,oblivious (partial),0.8484848484848485
690,0,active (partial),0.8686868686868687
691,1,active (partial+cons_cv),0.8686868686868687
692,2,active (shifted),0.8686868686868687
693,3,active (full),0.8585858585858587
694,4,sample everything,0.8686868686868687
695,5,oblivious (partial),0.8787878787878789
696,0,active (partial),0.8686868686868687
697,1,active (partial+cons_cv),0.8686868686868687
698,2,active (shifted),0.8686868686868687
699,3,active (full),0.8686868686868687
700,4,sample everything,0.8686868686868687
701,5,oblivious (partial),0.8585858585858587
702,0,active (partial),0.888888888888889
703,1,active (partial+cons_cv),0.888888888888889
704,2,active (shifted),0.8989898989898991
705,3,active (full),0.888888888888889
706,4,sample everything,0.9191919191919192
707,5,oblivious (partial),0.8787878787878789
708,0,active (partial),0.8686868686868687
709,1,active (partial+cons_cv),0.8585858585858587
710,2,active (shifted),0.8686868686868687
711,3,active (full),0.8585858585858587
712,4,sample everything,0.888888888888889
713,5,oblivious (partial),0.8787878787878789
714,0,active (partial),0.8787878787878789
715,1,active (partial+cons_cv),0.888888888888889
716,2,active (shifted),0.888888888888889
717,3,active (full),0.8787878787878789
